id,x,y,class,TRACK_ID,Rock,Metal,Pop,Disco,HipHop,Jazz,Blues,Reggae,Country,Classical
0,51.85322,36.07135,Pop,track_0000214,0,0,1,0,0,0,0,0,0,0
1,-43.229473,-74.772644,Metal,track_0000215,0,1,0,0,0,0,0,0,0,0
2,-47.883163,-71.97474,Metal,track_0000216,0,1,0,0,0,0,0,0,0,0
3,-48.49595,-72.752075,Metal,track_0000217,0,1,0,0,0,0,0,0,0,0
4,-80.8574,-10.069306,Blues,track_0000218,0,0,0,0,0,0,1,0,0,0
5,-47.494827,-74.19588,Metal,track_0000219,0,1,0,0,0,0,0,0,0,0
6,-45.67365,-54.913868,Blues,track_0000220,0,0,0,0,0,0,1,0,0,0
7,-46.78552,-72.605194,Metal,track_0000221,0,1,0,0,0,0,0,0,0,0
8,-47.247982,-69.75826,Metal,track_0000222,0,1,0,0,0,0,0,0,0,0
9,-41.250008,-75.86114,Metal,track_0000223,0,1,0,0,0,0,0,0,0,0
10,-48.32182,-72.49015,Rock,track_0000224,1,0,0,0,0,0,0,0,0,0
11,-47.552567,-72.10961,Metal,track_0000225,0,1,0,0,0,0,0,0,0,0
12,-71.971695,-15.422077,Rock,track_0000226,1,0,0,0,0,0,0,0,0,0
13,-69.51712,-0.9115285,Rock,track_0000227,1,0,0,0,0,0,0,0,0,0
14,-48.48196,-72.350334,Rock,track_0000228,1,0,0,0,0,0,0,0,0,0
15,-47.425552,-73.87442,Metal,track_0000229,0,1,0,0,0,0,0,0,0,0
16,-46.59588,-73.71861,Metal,track_0000230,0,1,0,0,0,0,0,0,0,0
17,-58.606094,-22.818314,Blues,track_0000231,0,0,0,0,0,0,1,0,0,0
18,-54.765575,-69.1266,Metal,track_0000241,0,1,0,0,0,0,0,0,0,0
19,-80.01207,-10.333292,Jazz,track_0000242,0,0,0,0,0,1,0,0,0,0
20,-49.56046,-69.502975,Metal,track_0000243,0,1,0,0,0,0,0,0,0,0
21,-24.06799,-68.50579,Metal,track_0000244,0,1,0,0,0,0,0,0,0,0
22,-68.52788,-21.27942,Blues,track_0000245,0,0,0,0,0,0,1,0,0,0
23,-49.791958,-69.808525,Metal,track_0000246,0,1,0,0,0,0,0,0,0,0
24,-76.71768,-30.649782,Blues,track_0000247,0,0,0,0,0,0,1,0,0,0
25,73.69322,-48.977623,Classical,track_0000382,0,0,0,0,0,0,0,0,0,1
26,73.47423,-49.34427,Classical,track_0000383,0,0,0,0,0,0,0,0,0,1
27,73.421074,-49.19063,Classical,track_0000384,0,0,0,0,0,0,0,0,0,1
28,72.62499,-48.318855,Classical,track_0000385,0,0,0,0,0,0,0,0,0,1
29,73.488815,-49.57383,Classical,track_0000386,0,0,0,0,0,0,0,0,0,1
30,73.29584,-48.468758,Classical,track_0000387,0,0,0,0,0,0,0,0,0,1
31,73.40558,-47.75058,Classical,track_0000388,0,0,0,0,0,0,0,0,0,1
32,73.488846,-49.52202,Classical,track_0000389,0,0,0,0,0,0,0,0,0,1
